ac_no,ac_name,candidate_name,gender,age,category,party,general,postal,total,pct_votes,total_electors,party_group,rank
1,Gummidipoondi,GOVINDARAJAN T.J,MALE,60,GENERAL,DMK,125001,1451,126452,44.89,281688,DMK+,1
1,Gummidipoondi,PRAKASH M,MALE,50,GENERAL,PMK,75004,510,75514,26.81,281688,ADMK+,2
1,Gummidipoondi,USHA,FEMALE,31,SC,NTK,11643,58,11701,4.15,281688,NTK,3
1,Gummidipoondi,DILLIY K.M,MALE,45,GENERAL,DMDK,2553,23,2576,0.91,281688,DMDK,4
1,Gummidipoondi,NOTA,,,,NOTA,1775,8,1783,0.63,281688,NOTA,5
1,Gummidipoondi,NAGARAJ S,MALE,28,SC,BSP,1031,7,1038,0.37,281688,BSP,6
1,Gummidipoondi,SARAVANAN V,MALE,33,GENERAL,IJK,813,3,816,0.29,281688,IJK,7
1,Gummidipoondi,SARAVANAN E,MALE,44,GENERAL,IND,526,6,532,0.19,281688,IND,8
1,Gummidipoondi,DEVANATHAN R,MALE,26,SC,IND,482,0,482,0.17,281688,IND,9
1,Gummidipoondi,LAKSHMI R,FEMALE,52,GENERAL,IND,369,5,374,0.13,281688,IND,10
1,Gummidipoondi,PRAKASH K,MALE,49,GENERAL,IND,349,2,351,0.12,281688,IND,11
1,Gummidipoondi,GOWTHAM J,MALE,26,GENERAL,AMAK,254,0,254,0.09,281688,AMAK,12
1,Gummidipoondi,PRAKASH M,MALE,52,GENERAL,IND,196,0,196,0.07,281688,IND,13
2,Ponneri,DURAI. CHANDRASEKAR,MALE,48,SC,INC,93669,859,94528,35.36,267368,DMK+,1
2,Ponneri,BALARAMAN. P,MALE,59,SC,ADMK,84534,305,84839,31.73,267368,ADMK+,2
2,Ponneri,MAHESWARI. A,FEMALE,35,SC,NTK,18973,54,19027,7.12,267368,NTK,3
2,Ponneri,DESINGURAJAN. D,MALE,52,SC,MNM,5372,22,5394,2.02,267368,MNM,4
2,Ponneri,PON. RAJA,MALE,45,SC,AMMKMNKZ,2813,19,2832,1.06,267368,AMMKMNKZ,5
2,Ponneri,NOTA,,,,NOTA,1551,3,1554,0.58,267368,NOTA,6
2,Ponneri,BHAVANI ILAVENIL. J,FEMALE,31,SC,BSP,1102,4,1106,0.41,267368,BSP,7
2,Ponneri,ASHOK PRIYADARSHAN. S,MALE,42,SC,IND,470,0,470,0.18,267368,IND,8
2,Ponneri,SUGUMAR. K,MALE,40,SC,IND,298,0,298,0.11,267368,IND,9
2,Ponneri,VIJAYAKUMAR. V,MALE,41,SC,AMGRDMK,189,1,190,0.07,267368,AMGRDMK,10
2,Ponneri,SAMBATH KUMAR.C.H,MALE,50,SC,IND,116,0,116,0.04,267368,IND,11
