ac_no,ac_name,candidate_name,gender,age,category,party,general,postal,total,pct_votes,total_electors,party_group,rank
3,Tiruttani,S.Chandran,MALE,57,GENERAL,DMK,118005,2309,120314,41.30,291336,DMK+,1
3,Tiruttani,G.Hari,MALE,60,GENERAL,ADMK,89704,1357,91061,31.26,291336,ADMK+,2
3,Tiruttani,L.AKILA,FEMALE,31,GENERAL,NTK,11900,107,12007,4.12,291336,NTK,3
3,Tiruttani,D.Krishnamoorthi,MALE,58,GENERAL,DMDK,3903,25,3928,1.35,291336,DMDK,4
3,Tiruttani,NOTA,,,,NOTA,1653,12,1665,0.57,291336,NOTA,5
3,Tiruttani,D.PAULRAJ,MALE,33,SC,IND,889,3,892,0.31,291336,IND,6
3,Tiruttani,V.P.Vijayan,MALE,25,GENERAL,IND,761,8,769,0.26,291336,IND,7
3,Tiruttani,N.MAGENDIRAN,MALE,38,SC,BSP,711,6,717,0.25,291336,BSP,8
3,Tiruttani,M.Hari,MALE,39,GENERAL,IND,365,1,366,0.13,291336,IND,9
3,Tiruttani,M.D.Thanigai Malai,MALE,49,GENERAL,IJK,352,1,353,0.12,291336,IJK,10
3,Tiruttani,A.J.Suresh,MALE,35,GENERAL,IND,174,8,182,0.06,291336,IND,11
3,Tiruttani,S.Shettu,MALE,47,SC,IND,143,0,143,0.05,291336,IND,12
3,Tiruttani,S.Manikkam,MALE,36,SC,AIJYMKG,121,0,121,0.04,291336,AIJYMKG,13
3,Tiruttani,K.Chandran,MALE,50,GENERAL,IND,59,1,60,0.02,291336,IND,14
3,Tiruttani,T.Chandran,MALE,45,SC,IND,46,0,46,0.02,291336,IND,15
4,Thiruvallur,"RAAJENDRAN, V.G.",MALE,53,GENERAL,DMK,106316,1393,107709,39.17,274982,DMK+,1
4,Thiruvallur,"RAMANAH, BE VEE",MALE,53,GENERAL,ADMK,84508,500,85008,30.91,274982,ADMK+,2
4,Thiruvallur,"PASUPATHY, P.",MALE,50,GENERAL,NTK,14943,85,15028,5.47,274982,NTK,3
4,Thiruvallur,"DOSS, D.",MALE,50,SC,BSP,2314,15,2329,0.85,274982,BSP,4
4,Thiruvallur,NOTA,,,,NOTA,1857,15,1872,0.68,274982,NOTA,5
4,Thiruvallur,"GURU, N.",MALE,42,GENERAL,AMMKMNKZ,1072,5,1077,0.39,274982,AMMKMNKZ,6
4,Thiruvallur,"RAJENDIRAN, G.",MALE,54,SC,IND,385,3,388,0.14,274982,IND,7
4,Thiruvallur,"REVATHI, R.",FEMALE,38,GENERAL,IND,281,2,283,0.10,274982,IND,8
4,Thiruvallur,"BALA KRISHNAN, N.",MALE,44,GENERAL,IND,232,0,232,0.08,274982,IND,9
4,Thiruvallur,"KUMAR, E.",MALE,47,GENERAL,IND,132,1,133,0.05,274982,IND,10
4,Thiruvallur,"RAMANAN, R.",MALE,44,GENERAL,IND,97,0,97,0.04,274982,IND,11
4,Thiruvallur,"SASIKUMAR, J.",MALE,34,SC,IND,87,0,87,0.03,274982,IND,12
5,Poonamallee,Krishnaswamy A,MALE,55,SC,DMK,148383,1195,149578,41.76,358218,DMK+,1
5,Poonamallee,Rajamannar S X,MALE,63,SC,PMK,55249,219,55468,15.48,358218,ADMK+,2
5,Poonamallee,Manimekalai A,FEMALE,30,SC,NTK,29804,67,29871,8.34,358218,NTK,3
5,Poonamallee,Revathi Manimegalai J,FEMALE,54,SC,MNM,11877,50,11927,3.33,358218,MNM,4
5,Poonamallee,Elumalai T.A.,MALE,54,SC,AMMKMNKZ,8771,34,8805,2.46,358218,AMMKMNKZ,5
5,Poonamallee,Sathyamurthy A C,MALE,41,SC,BSP,2880,11,2891,0.81,358218,BSP,6
5,Poonamallee,NOTA,,,,NOTA,2853,18,2871,0.80,358218,NOTA,7
5,Poonamallee,Ravikumar M,MALE,32,SC,IND,448,0,448,0.13,358218,IND,8
5,Poonamallee,Sivakumar S,MALE,51,SC,IND,402,0,402,0.11,358218,IND,9
5,Poonamallee,Velu S,MALE,44,SC,IND,355,0,355,0.10,358218,IND,10
5,Poonamallee,Boshya Gayathri M,FEMALE,25,SC,MIDP,288,2,290,0.08,358218,MIDP,11
5,Poonamallee,Venkatesan J,MALE,45,SC,IND,242,0,242,0.07,358218,IND,12
5,Poonamallee,Rajesh P,MALE,31,SC,IND,239,0,239,0.07,358218,IND,13
5,Poonamallee,Purushothaman B,MALE,51,SC,IND,174,2,176,0.05,358218,IND,14
5,Poonamallee,Dhasarathan R,MALE,53,SC,IND,173,0,173,0.05,358218,IND,15
6,Avadi,Nasar S M,MALE,61,GENERAL,DMK,148845,1442,150287,33.94,442831,DMK+,1
6,Avadi,Pandiarajan K,MALE,61,GENERAL,ADMK,94331,681,95012,21.46,442831,ADMK+,2
6,Avadi,VIJAYALAKSHMI G,FEMALE,35,GENERAL,NTK,29953,134,30087,6.79,442831,NTK,3
6,Avadi,Udhayakumar V,MALE,49,GENERAL,MNM,16982,110,17092,3.86,442831,MNM,4
6,Avadi,NOTA,,,,NOTA,2361,20,2381,0.54,442831,NOTA,5
6,Avadi,Sankar N M,MALE,51,GENERAL,DMDK,1895,16,1911,0.43,442831,DMDK,6
6,Avadi,Balasubramanian M,MALE,48,GENERAL,TNLK,1251,12,1263,0.29,442831,TNLK,7
6,Avadi,CHARLES S,MALE,40,SC,BSP,763,10,773,0.17,442831,BSP,8
6,Avadi,Pandiarajan G,MALE,31,GENERAL,IND,359,1,360,0.08,442831,IND,9
6,Avadi,Jayakumar P,MALE,45,GENERAL,IND,299,1,300,0.07,442831,IND,10
6,Avadi,Shanavas Khan J,MALE,41,GENERAL,IND,231,0,231,0.05,442831,IND,11
6,Avadi,Nagaraj M,MALE,66,GENERAL,IND,198,0,198,0.04,442831,IND,12
6,Avadi,Dharani K,MALE,41,GENERAL,IND,184,3,187,0.04,442831,IND,13
6,Avadi,Sugumar M,MALE,46,GENERAL,IND,143,0,143,0.03,442831,IND,14
6,Avadi,Banumathi,FEMALE,36,GENERAL,MIDP,126,1,127,0.03,442831,MIDP,15
6,Avadi,Raman N,MALE,51,GENERAL,TMNP,120,0,120,0.03,442831,TMNP,16
6,Avadi,Viswanathan R,MALE,64,GENERAL,MGRMKKT,108,0,108,0.02,442831,MGRMKKT,17
6,Avadi,Chandrasekar.A,MALE,39,GENERAL,IND,105,0,105,0.02,442831,IND,18
6,Avadi,Venkatesan M,MALE,45,GENERAL,IND,95,0,95,0.02,442831,IND,19
6,Avadi,Durgaprasad G,MALE,37,GENERAL,IND,73,2,75,0.02,442831,IND,20
6,Avadi,Akilan T.M.,MALE,36,GENERAL,IND,72,0,72,0.02,442831,IND,21
7,Maduravoyal,GANAPATHY.K,MALE,61,GENERAL,DMK,120441,857,121298,26.82,452195,DMK+,1
7,Maduravoyal,BENJAMIN.P,MALE,51,GENERAL,ADMK,89313,264,89577,19.81,452195,ADMK+,2
7,Maduravoyal,PADMA PRIYA.S,FEMALE,25,GENERAL,MNM,33310,91,33401,7.39,452195,MNM,3
7,Maduravoyal,GANESHKUMAR.G,MALE,35,GENERAL,NTK,20999,46,21045,4.65,452195,NTK,4
7,Maduravoyal,LUCKY MURUGAN.E,MALE,41,GENERAL,AMMKMNKZ,2648,12,2660,0.59,452195,AMMKMNKZ,5
7,Maduravoyal,NOTA,,,,NOTA,2137,9,2146,0.47,452195,NOTA,6
7,Maduravoyal,SHANMUGAM.K,MALE,34,GENERAL,TNLK,906,2,908,0.20,452195,TNLK,7
7,Maduravoyal,SANTHAKUMAR.Y,MALE,36,SC,BSP,622,6,628,0.14,452195,BSP,8
7,Maduravoyal,PRIYA.K,FEMALE,41,GENERAL,IND,552,1,553,0.12,452195,IND,9
7,Maduravoyal,LAVANYA.P,FEMALE,34,GENERAL,NCP,348,1,349,0.08,452195,NCP,10
7,Maduravoyal,SELVAKUMAR.V,MALE,47,SC,IND,287,0,287,0.06,452195,IND,11
7,Maduravoyal,MURUGAN.D,MALE,46,GENERAL,IND,161,0,161,0.04,452195,IND,12
7,Maduravoyal,BENJAMIN MOSES.S,MALE,33,GENERAL,IND,149,0,149,0.03,452195,IND,13
7,Maduravoyal,ABARAJITHAN.R,MALE,53,GENERAL,IND,142,1,143,0.03,452195,IND,14
7,Maduravoyal,NEVIS STELLA MARY.B,FEMALE,37,GENERAL,AMAK,124,0,124,0.03,452195,AMAK,15
7,Maduravoyal,GANAPATHY.R,MALE,53,GENERAL,IND,96,0,96,0.02,452195,IND,16
7,Maduravoyal,ARUNKUMAR.A,MALE,39,GENERAL,IND,95,0,95,0.02,452195,IND,17
7,Maduravoyal,MUTHURAMAN.S,MALE,52,GENERAL,AMGRDMK,69,0,69,0.02,452195,AMGRDMK,18
7,Maduravoyal,AMALRAJ.S,MALE,38,GENERAL,IND,69,0,69,0.02,452195,IND,19
7,Maduravoyal,SUMITHRA.R,FEMALE,41,SC,BHUDRP,64,0,64,0.01,452195,BHUDRP,20
7,Maduravoyal,RAVI.C.V,MALE,43,GENERAL,IND,48,0,48,0.01,452195,IND,21
8,Ambattur,JOSEPH SAMUEL,MALE,58,GENERAL,DMK,113371,1183,114554,29.80,384377,DMK+,1
8,Ambattur,V ALEXANDER,MALE,49,GENERAL,ADMK,71908,500,72408,18.84,384377,ADMK+,2
8,Ambattur,R ANBU THENARASAN,MALE,57,GENERAL,NTK,22638,63,22701,5.91,384377,NTK,3
8,Ambattur,S VAITHESWARAN,MALE,56,GENERAL,MNM,22286,84,22370,5.82,384377,MNM,4
8,Ambattur,S VEDHACHALAM,MALE,67,GENERAL,AMMKMNKZ,2616,15,2631,0.68,384377,AMMKMNKZ,5
8,Ambattur,NOTA,,,,NOTA,2332,26,2358,0.61,384377,NOTA,6
8,Ambattur,K Bharathi,MALE,40,SC,IND,801,6,807,0.21,384377,IND,7
8,Ambattur,R Radha,FEMALE,52,GENERAL,NCP,613,2,615,0.16,384377,NCP,8
8,Ambattur,S Praveen,MALE,32,GENERAL,IND,251,0,251,0.07,384377,IND,9
8,Ambattur,S Veena,FEMALE,48,GENERAL,AMAK,231,2,233,0.06,384377,AMAK,10
8,Ambattur,NARMADA NANDHAKUMAR,FEMALE,43,GENERAL,IND,176,1,177,0.05,384377,IND,11
8,Ambattur,T Joseph Samuvel SanthaKumar,MALE,39,GENERAL,IND,162,0,162,0.04,384377,IND,12
8,Ambattur,T MUNIANDI,MALE,65,GENERAL,IND,156,0,156,0.04,384377,IND,13
8,Ambattur,M S ARUMUGAM,MALE,55,SC,IND,141,1,142,0.04,384377,IND,14
8,Ambattur,C RAGHUL,MALE,29,SC,IND,138,1,139,0.04,384377,IND,15
8,Ambattur,Bharadan,MALE,33,GENERAL,IND,111,0,111,0.03,384377,IND,16
8,Ambattur,A R MURUGAVEL,MALE,50,GENERAL,IND,94,1,95,0.02,384377,IND,17
8,Ambattur,G Soma Sundaram,MALE,39,GENERAL,IND,80,0,80,0.02,384377,IND,18
8,Ambattur,A S Kesavan,MALE,53,SC,IND,59,0,59,0.02,384377,IND,19
8,Ambattur,G Srinivasan,MALE,45,SC,IND,56,1,57,0.01,384377,IND,20
8,Ambattur,N Ganesan,MALE,49,GENERAL,IND,55,0,55,0.01,384377,IND,21
8,Ambattur,P Dhanraj,MALE,66,GENERAL,IND,52,3,55,0.01,384377,IND,22
8,Ambattur,Ravi,MALE,43,GENERAL,IND,44,0,44,0.01,384377,IND,23
8,Ambattur,G Vijayakumar,MALE,63,GENERAL,IND,39,0,39,0.01,384377,IND,24
9,Madavaram,SUDHARSANAM. S,MALE,62,GENERAL,DMK,150654,831,151485,33.33,454474,DMK+,1
9,Madavaram,Moorthy. V,MALE,62,GENERAL,ADMK,94206,208,94414,20.77,454474,ADMK+,2
9,Madavaram,ELUMALAI. R,MALE,55,GENERAL,NTK,27411,42,27453,6.04,454474,NTK,3
9,Madavaram,RAMESH,MALE,57,GENERAL,MNM,15838,39,15877,3.49,454474,MNM,4
9,Madavaram,DHAKSHNAMOORTHY. D,MALE,45,GENERAL,AMMKMNKZ,7088,16,7104,1.56,454474,AMMKMNKZ,5
9,Madavaram,NOTA,,,,NOTA,2161,5,2166,0.48,454474,NOTA,6
9,Madavaram,DEEPAK. S,MALE,31,SC,BSP,1390,3,1393,0.31,454474,BSP,7
9,Madavaram,ARAVIND KUMAR. P,MALE,36,GENERAL,DMSK,465,0,465,0.10,454474,DMSK,8
9,Madavaram,MOORTHY. S,MALE,35,GENERAL,IND,437,0,437,0.10,454474,IND,9
9,Madavaram,RAMU. S,MALE,51,GENERAL,IND,431,0,431,0.09,454474,IND,10
9,Madavaram,BABU. M.G,MALE,49,GENERAL,IND,411,2,413,0.09,454474,IND,11
9,Madavaram,SAMBATH. E,MALE,40,GENERAL,SHS,175,0,175,0.04,454474,SHS,12
9,Madavaram,SUDHARSANAN. D,MALE,26,SC,IND,169,1,170,0.04,454474,IND,13
9,Madavaram,JAYASEELAN. S,MALE,38,GENERAL,IND,119,0,119,0.03,454474,IND,14
9,Madavaram,VINOTH KUMAR. M,MALE,32,GENERAL,NADLMMKLK,113,1,114,0.03,454474,NADLMMKLK,15
9,Madavaram,ARIVUNITHI. S,MALE,40,GENERAL,IND,108,0,108,0.02,454474,IND,16
9,Madavaram,NIRMAL KUMAR. M,MALE,35,GENERAL,IND,101,0,101,0.02,454474,IND,17
9,Madavaram,SAKTHIVEL. A,MALE,48,SC,IND,83,2,85,0.02,454474,IND,18
9,Madavaram,YUVARAJ. M,MALE,49,GENERAL,AMGRDMK,81,0,81,0.02,454474,AMGRDMK,19
9,Madavaram,SATHISH KUMAR. S,MALE,36,GENERAL,IND,62,0,62,0.01,454474,IND,20
9,Madavaram,RAMESH. G,MALE,52,GENERAL,IND,47,0,47,0.01,454474,IND,21
10,Thiruvottiyur,K.P.SHANKAR,MALE,47,GENERAL,DMK,87703,482,88185,28.82,306005,DMK+,1
10,Thiruvottiyur,K.KUPPAN,MALE,67,GENERAL,ADMK,50435,89,50524,16.51,306005,ADMK+,2
10,Thiruvottiyur,SEEMAN,MALE,55,GENERAL,NTK,48497,100,48597,15.88,306005,NTK,3
10,Thiruvottiyur,D.MOHAN,MALE,48,GENERAL,MNM,7025,28,7053,2.30,306005,MNM,4
10,Thiruvottiyur,M.SOUNDARA PANDIAN,MALE,57,GENERAL,AMMKMNKZ,1413,4,1417,0.46,306005,AMMKMNKZ,5
10,Thiruvottiyur,NOTA,,,,NOTA,1106,5,1111,0.36,306005,NOTA,6
10,Thiruvottiyur,M.A.MICHAEL RAJ,MALE,52,GENERAL,IND,601,2,603,0.20,306005,IND,7
10,Thiruvottiyur,N.RAMESH KUMAR,MALE,61,SC,IND,584,1,585,0.19,306005,IND,8
10,Thiruvottiyur,M.KOTTESWARAN,MALE,26,SC,BSP,367,0,367,0.12,306005,BSP,9
10,Thiruvottiyur,D.SASIRAJ,MALE,37,GENERAL,SAP,291,0,291,0.10,306005,SAP,10
10,Thiruvottiyur,R.EGAVALLI,FEMALE,41,GENERAL,NADLMMKLK,253,0,253,0.08,306005,NADLMMKLK,11
10,Thiruvottiyur,U.VENKATESH,MALE,26,GENERAL,IND,224,0,224,0.07,306005,IND,12
10,Thiruvottiyur,M.CHELLAM,FEMALE,51,GENERAL,IND,184,0,184,0.06,306005,IND,13
10,Thiruvottiyur,C.DHANRAJ,MALE,47,GENERAL,IND,115,0,115,0.04,306005,IND,14
10,Thiruvottiyur,D.THAMIZHIZHAN,MALE,27,GENERAL,IND,103,0,103,0.03,306005,IND,15
10,Thiruvottiyur,K.GOPINATH,MALE,46,GENERAL,IND,96,0,96,0.03,306005,IND,16
10,Thiruvottiyur,B.DHANASEKARAN,MALE,45,GENERAL,IND,88,0,88,0.03,306005,IND,17
10,Thiruvottiyur,B.ZAKIR HUSSAIN,MALE,47,GENERAL,IND,71,0,71,0.02,306005,IND,18
10,Thiruvottiyur,PRAVINA,FEMALE,47,SC,IND,52,0,52,0.02,306005,IND,19
10,Thiruvottiyur,N.RAJESH KUMAR,MALE,37,GENERAL,IND,48,0,48,0.02,306005,IND,20
10,Thiruvottiyur,V.SURESHBALAJI,MALE,33,GENERAL,IND,29,0,29,0.01,306005,IND,21
11,Dr.Radhakrishnan Nagar,EBENEZER. J.J. (@) JOHN EBENEZER.J,MALE,45,GENERAL,DMK,95516,247,95763,36.41,262980,DMK+,1
11,Dr.Radhakrishnan Nagar,RAAJESH.R.S.,MALE,48,GENERAL,ADMK,53204,80,53284,20.26,262980,ADMK+,2
11,Dr.Radhakrishnan Nagar,GOWRISHANKAR . K,MALE,44,GENERAL,NTK,20401,36,20437,7.77,262980,NTK,3
11,Dr.Radhakrishnan Nagar,FAZIL . A,MALE,35,GENERAL,MNM,11181,17,11198,4.26,262980,MNM,4
11,Dr.Radhakrishnan Nagar,DR. KALIDAS . P,MALE,54,GENERAL,AMMKMNKZ,1848,4,1852,0.70,262980,AMMKMNKZ,5
11,Dr.Radhakrishnan Nagar,NOTA,,,,NOTA,1702,2,1704,0.65,262980,NOTA,6
11,Dr.Radhakrishnan Nagar,SANTHAKUMAR . A,MALE,30,GENERAL,IND,557,0,557,0.21,262980,IND,7
11,Dr.Radhakrishnan Nagar,VIJAYAN.P,MALE,35,SC,BSP,361,0,361,0.14,262980,BSP,8
11,Dr.Radhakrishnan Nagar,SASIDARAN.S,MALE,37,SC,IND,241,0,241,0.09,262980,IND,9
11,Dr.Radhakrishnan Nagar,Daniel Sachin Mani.E,MALE,38,GENERAL,IND,222,0,222,0.08,262980,IND,10
11,Dr.Radhakrishnan Nagar,SIVAKUMAR.S,MALE,31,SC,SUCI,214,1,215,0.08,262980,SUCI,11
11,Dr.Radhakrishnan Nagar,BABU MAILAN . A,MALE,49,GENERAL,RPPRINAT,115,0,115,0.04,262980,RPPRINAT,12
11,Dr.Radhakrishnan Nagar,KANDEEPAN.G,MALE,49,GENERAL,IND,111,0,111,0.04,262980,IND,13
11,Dr.Radhakrishnan Nagar,RAMADASS . E,MALE,68,SC,MANAK,104,0,104,0.04,262980,MANAK,14
11,Dr.Radhakrishnan Nagar,GUNASEKARAN.G,MALE,65,SC,IND,92,0,92,0.03,262980,IND,15
11,Dr.Radhakrishnan Nagar,PREMKUMAR.P,MALE,42,SC,IND,79,0,79,0.03,262980,IND,16
11,Dr.Radhakrishnan Nagar,MOHAN . R,MALE,63,GENERAL,USIP,79,0,79,0.03,262980,USIP,17
11,Dr.Radhakrishnan Nagar,KALIDASS,MALE,55,GENERAL,IND,67,0,67,0.03,262980,IND,18
11,Dr.Radhakrishnan Nagar,SRIDHAR . C,MALE,39,GENERAL,IND,55,0,55,0.02,262980,IND,19
11,Dr.Radhakrishnan Nagar,DEVARAJ.M,MALE,42,GENERAL,IND,48,0,48,0.02,262980,IND,21
11,Dr.Radhakrishnan Nagar,DEVAKUMAR.R,MALE,31,SC,IND,48,0,48,0.02,262980,IND,20
11,Dr.Radhakrishnan Nagar,RAJESH . I,MALE,40,GENERAL,IND,47,0,47,0.02,262980,IND,22
11,Dr.Radhakrishnan Nagar,FRANKLIN.D,MALE,42,GENERAL,IND,44,0,44,0.02,262980,IND,23
11,Dr.Radhakrishnan Nagar,PURUSHOTHAMAN . K,MALE,26,GENERAL,IND,44,0,44,0.02,262980,IND,24
11,Dr.Radhakrishnan Nagar,BOOTHIRAJAN.G,MALE,40,GENERAL,IND,39,0,39,0.01,262980,IND,25
11,Dr.Radhakrishnan Nagar,MARIMUTHU.P,MALE,65,GENERAL,IND,38,0,38,0.01,262980,IND,26
11,Dr.Radhakrishnan Nagar,VENKATRAMAN . C,MALE,30,SC,IND,36,1,37,0.01,262980,IND,28
11,Dr.Radhakrishnan Nagar,RAJESH . S,MALE,35,SC,IND,36,1,37,0.01,262980,IND,27
11,Dr.Radhakrishnan Nagar,VENUGOPAL.D,MALE,35,SC,SHS,32,2,34,0.01,262980,SHS,29
11,Dr.Radhakrishnan Nagar,VIVEK.C,MALE,38,SC,IND,27,0,27,0.01,262980,IND,30
11,Dr.Radhakrishnan Nagar,ETHIRAJ.R,MALE,44,GENERAL,IND,26,0,26,0.01,262980,IND,31
11,Dr.Radhakrishnan Nagar,MADHAN RAJ . D,MALE,44,GENERAL,IND,22,0,22,0.01,262980,IND,32
12,Perambur,SHEKAR. R.D,MALE,54,GENERAL,DMK,104580,687,105267,33.32,315942,DMK+,1
12,Perambur,DHANAPALAN N.R,MALE,69,GENERAL,ADMK,50093,198,50291,15.92,315942,ADMK+,2
12,Perambur,MERLIN SUGANTHI. S,FEMALE,35,GENERAL,NTK,19787,34,19821,6.27,315942,NTK,3
12,Perambur,PONNUSAMY. A,MALE,46,GENERAL,MNM,17026,46,17072,5.40,315942,MNM,4
12,Perambur,LAKSHMI NARAYANAN. E,MALE,48,GENERAL,AMMKMNKZ,4039,3,4042,1.28,315942,AMMKMNKZ,5
12,Perambur,NOTA,,,,NOTA,1508,7,1515,0.48,315942,NOTA,6
12,Perambur,SURESH. C,MALE,37,GENERAL,BSP,515,0,515,0.16,315942,BSP,7
12,Perambur,SOOSAI. M.A,MALE,57,GENERAL,RPPRINAT,296,0,296,0.09,315942,RPPRINAT,8
12,Perambur,SEBASTIN. J,MALE,44,GENERAL,SUCI,194,0,194,0.06,315942,SUCI,9
12,Perambur,SATHEESH. J,MALE,45,GENERAL,IND,174,0,174,0.06,315942,IND,10
12,Perambur,PARTHIPAN. P,MALE,39,GENERAL,IND,172,0,172,0.05,315942,IND,11
12,Perambur,SEKAR. P,MALE,66,GENERAL,IND,166,0,166,0.05,315942,IND,12
12,Perambur,RAJESH. K,MALE,32,GENERAL,IND,163,0,163,0.05,315942,IND,13
12,Perambur,PREM ANAND. J,MALE,32,GENERAL,IND,112,0,112,0.04,315942,IND,14
12,Perambur,SATHISHKUMAR. S,MALE,31,GENERAL,IND,106,0,106,0.03,315942,IND,15
12,Perambur,RAJESH KUMAR. S,MALE,46,GENERAL,IND,90,0,90,0.03,315942,IND,16
12,Perambur,SELVARAJ. R,MALE,49,SC,IND,86,1,87,0.03,315942,IND,17
12,Perambur,SARAVANA PERUMAL. R,MALE,47,GENERAL,IND,65,0,65,0.02,315942,IND,18
12,Perambur,UDAYAKUMAR. S,MALE,48,GENERAL,IND,59,1,60,0.02,315942,IND,19
12,Perambur,KADHIRAVAN. M,MALE,53,GENERAL,IND,48,0,48,0.02,315942,IND,20
12,Perambur,VENKATESH. L,MALE,45,GENERAL,IND,46,0,46,0.01,315942,IND,21
12,Perambur,VINOTHKUMAR. G,MALE,30,SC,IND,45,0,45,0.01,315942,IND,22
12,Perambur,VASANTHA KUMAR. M,MALE,43,GENERAL,IND,40,0,40,0.01,315942,IND,23
13,Kolathur,M.K. STALIN,MALE,68,GENERAL,DMK,104305,1217,105522,37.53,281197,DMK+,1
13,Kolathur,AADIRAJARAM,MALE,62,GENERAL,ADMK,34801,337,35138,12.50,281197,ADMK+,2
13,Kolathur,A.JAGADISH KUMAR,MALE,31,GENERAL,MNM,14123,87,14210,5.05,281197,MNM,3
13,Kolathur,CAMILUS SELVA,MALE,30,GENERAL,NTK,11259,45,11304,4.02,281197,NTK,4
13,Kolathur,NOTA,,,,NOTA,1518,11,1529,0.54,281197,NOTA,5
13,Kolathur,MJS.JAMAL MOHAMED MEERA,MALE,39,GENERAL,BSP,1286,9,1295,0.46,281197,BSP,6
13,Kolathur,J.ARUMUGAM,MALE,54,GENERAL,AMMKMNKZ,1076,5,1081,0.38,281197,AMMKMNKZ,7
13,Kolathur,AGNI SRI RAMACHANDRAN. N,MALE,40,GENERAL,IND,681,1,682,0.24,281197,IND,8
13,Kolathur,SURESH,MALE,36,GENERAL,TNLK,619,1,620,0.22,281197,TNLK,9
13,Kolathur,ASHOK KUMAR.S,MALE,41,SC,NGPP,257,0,257,0.09,281197,NGPP,10
13,Kolathur,AL. NARESH KUMAR,MALE,27,GENERAL,IND,197,0,197,0.07,281197,IND,11
13,Kolathur,DIVYA,FEMALE,26,GENERAL,IND,181,1,182,0.06,281197,IND,12
13,Kolathur,VIVEKRAJ.J,MALE,31,SC,tmc,118,0,118,0.04,281197,tmc,13
13,Kolathur,L.KATHIRESAN,MALE,48,GENERAL,IND,117,0,117,0.04,281197,IND,14
13,Kolathur,J.SURIYAMUTHU,MALE,46,GENERAL,IND,109,1,110,0.04,281197,IND,15
13,Kolathur,MIRZA SAFDAR ALI,MALE,43,GENERAL,IND,98,0,98,0.03,281197,IND,16
13,Kolathur,MALARVIZHI,FEMALE,30,GENERAL,IND,91,0,91,0.03,281197,IND,17
13,Kolathur,SATHIYASEELAN,MALE,36,GENERAL,IND,88,0,88,0.03,281197,IND,18
13,Kolathur,M.RAJENDRAN,MALE,46,GENERAL,NDPOSI,63,0,63,0.02,281197,NDPOSI,19
13,Kolathur,RAMA DEVI,FEMALE,33,GENERAL,IND,61,0,61,0.02,281197,IND,20
13,Kolathur,C.JEEVAKUMAR,MALE,34,SC,IND,52,0,52,0.02,281197,IND,21
13,Kolathur,D.SURESHBABU,MALE,45,GENERAL,DMSK,44,0,44,0.02,281197,DMSK,22
